,date,state,indians,foreigns,cured,deaths,confirmed
547,2020-04-01,23,,,0,0,1
548,2020-04-01,24,,,0,0,1
549,2020-04-01,14,,,0,0,4
550,2020-04-01,15,,,1,0,3
551,2020-04-01,10,,,1,3,42
552,2020-04-01,3,,,3,0,93
553,2020-04-01,7,,,6,1,234
554,2020-04-01,1,,,1,3,96
555,2020-04-01,13,,,2,0,7
556,2020-04-01,4,,,14,2,103
557,2020-04-01,16,,,6,3,37
558,2020-04-02,12,,,1,1,86
559,2020-04-02,25,,,0,0,10
560,2020-04-02,28,,,0,0,5
561,2020-04-02,22,,,0,1,24
562,2020-04-02,18,,,0,0,16
563,2020-04-02,17,,,2,0,9
564,2020-04-02,2,,,8,4,219
565,2020-04-02,26,,,0,0,5
566,2020-04-02,19,,,8,7,87
567,2020-04-02,5,,,21,0,43
568,2020-04-02,20,,,1,1,3
569,2020-04-02,11,,,2,2,62
570,2020-04-02,29,,,0,0,1
571,2020-04-02,8,,,9,3,110
572,2020-04-02,0,,,25,2,265
573,2020-04-02,6,,,3,0,13
574,2020-04-02,21,,,0,6,99
575,2020-04-02,9,,,42,13,335
576,2020-04-02,23,,,0,0,1
577,2020-04-02,24,,,0,0,1
578,2020-04-02,14,,,0,0,4
579,2020-04-02,15,,,1,0,3
580,2020-04-02,10,,,1,4,46
581,2020-04-02,3,,,3,0,108
582,2020-04-02,7,,,6,1,234
583,2020-04-02,1,,,1,3,107
584,2020-04-02,13,,,2,0,7
585,2020-04-02,4,,,14,2,113
586,2020-04-02,16,,,6,3,53
587,2020-04-03,12,,,1,1,132
588,2020-04-03,25,,,0,0,10
589,2020-04-03,30,,,0,0,1
590,2020-04-03,28,,,0,0,16
591,2020-04-03,22,,,0,1,29
592,2020-04-03,18,,,0,0,18
593,2020-04-03,17,,,3,0,9
594,2020-04-03,2,,,8,4,219
595,2020-04-03,26,,,0,0,6
596,2020-04-03,19,,,10,8,95
597,2020-04-03,5,,,24,0,49
598,2020-04-03,20,,,1,1,6
599,2020-04-03,11,,,3,2,75
600,2020-04-03,29,,,0,0,2
601,2020-04-03,8,,,10,3,124
602,2020-04-03,0,,,27,2,286
603,2020-04-03,6,,,3,0,14
604,2020-04-03,21,,,0,6,104
605,2020-04-03,9,,,42,16,335
606,2020-04-03,23,,,0,0,2
607,2020-04-03,24,,,0,0,1
608,2020-04-03,14,,,0,0,5
609,2020-04-03,15,,,1,0,5
610,2020-04-03,10,,,1,5,48
611,2020-04-03,3,,,3,0,167
612,2020-04-03,7,,,6,1,309
613,2020-04-03,1,,,1,7,158
614,2020-04-03,13,,,2,0,10
615,2020-04-03,4,,,14,2,172
616,2020-04-03,16,,,3,3,63
617,2020-04-03,27,,,0,0,77
618,2020-04-04,12,,,1,1,161
619,2020-04-04,25,,,0,0,10
620,2020-04-04,30,,,0,0,1
621,2020-04-04,28,,,0,0,24
622,2020-04-04,22,,,0,1,30
623,2020-04-04,18,,,0,0,18
624,2020-04-04,17,,,3,0,9
625,2020-04-04,2,,,15,6,445
626,2020-04-04,26,,,0,0,7
627,2020-04-04,19,,,14,10,105
628,2020-04-04,5,,,24,0,49
629,2020-04-04,20,,,1,1,6
630,2020-04-04,11,,,3,2,75
631,2020-04-04,29,,,0,0,2
632,2020-04-04,8,,,12,3,128
633,2020-04-04,0,,,41,2,295
634,2020-04-04,6,,,3,0,14
635,2020-04-04,21,,,0,6,104
636,2020-04-04,9,,,42,24,490
637,2020-04-04,23,,,0,0,2
638,2020-04-04,24,,,0,0,1
639,2020-04-04,14,,,0,0,5
640,2020-04-04,15,,,1,0,5
641,2020-04-04,10,,,1,5,57
642,2020-04-04,3,,,21,0,200
643,2020-04-04,7,,,6,2,411
644,2020-04-04,1,,,1,7,159
645,2020-04-04,13,,,2,0,16
646,2020-04-04,4,,,19,2,174
647,2020-04-04,16,,,3,3,69
648,2020-04-05,12,,,1,1,190
649,2020-04-05,25,,,0,0,10
650,2020-04-05,30,,,0,0,1
651,2020-04-05,28,,,0,0,26
652,2020-04-05,22,,,0,1,30
653,2020-04-05,18,,,0,0,18
654,2020-04-05,17,,,3,0,9
655,2020-04-05,2,,,18,7,503
656,2020-04-05,26,,,0,0,7
657,2020-04-05,19,,,18,11,122
658,2020-04-05,5,,,25,1,59
659,2020-04-05,20,,,1,1,6
660,2020-04-05,11,,,4,2,106
661,2020-04-05,29,,,0,0,3
662,2020-04-05,8,,,12,4,144
663,2020-04-05,0,,,49,2,306
664,2020-04-05,6,,,10,0,14
665,2020-04-05,21,,,0,9,165
666,2020-04-05,9,,,42,24,490
667,2020-04-05,23,,,0,0,2
668,2020-04-05,24,,,0,0,1
669,2020-04-05,14,,,0,0,20
670,2020-04-05,15,,,1,0,5
671,2020-04-05,10,,,1,5,57
672,2020-04-05,3,,,21,0,200
673,2020-04-05,7,,,6,3,485
674,2020-04-05,1,,,32,7,269
675,2020-04-05,13,,,2,0,22
676,2020-04-05,4,,,19,2,227
677,2020-04-05,16,,,10,3,80
678,2020-04-06,12,,,1,3,226
679,2020-04-06,25,,,0,0,10
680,2020-04-06,30,,,0,0,1
681,2020-04-06,28,,,0,0,26
682,2020-04-06,22,,,0,1,32
683,2020-04-06,18,,,0,0,18
